,title,review,star
10,[해뜨온] 거산 자색고구마(10kg),"['생고구마로 먹기는 부담스럽네요', '받은지 1주일만에 모두 버렸습니다\n판매해서는 안돼는 상품입니다\n농협몰에 민폐입니다\n\n자색이라 육안으로는 섞은 것을 구별을 할 수가 없는데\n삶으면 섞은고구마 냄새가 진동\n생으로 먹어도 아무런 맛이 없습니다 섞어서인지 알 수 없는데\n당장 판매 중지해야하는 상품입니다\n피해자는 저 혼자만으로']",4.0
11,[해뜨온] 거산 호박고구마(5kg),[],0.0
12,[해뜨온] 거산 호박 햇고구마(10kg),[],0.0
13,[해뜨온] 거산 꿀고구마(3kg),"['모든면에서 매우 다 좋아요!!!', '밤고구마라기보단 약간 물러요', '싱싱하고 크기도 좋고 만족합니다', '고구마 상태 너후 훌륭하고 너무 맛있어요', '고구마 상태, 맛, 포장 상태 모두 좋네요. 살짝 축축한 게 몇개 있어서, 건조 중이예요.', '고구마 깨끗한 상태라 너무 만족하고 맛나네요~', '대체로 만족합니다 완전 밤고구마는 아니어도.....', '고구마가 달긴한데 신선도는\n떨어져서 부분부분 깎아내고\n먹어야돼요', '크기도 좋구 너무달아요..꿀인듯', '못난이라고 해서 크기가 작은줄알고 구입했는데 넘 커서 당황했어요.ㅜㅜ\n깨끗이 세척해서 배송 해주셨더라구요.넘 감사해요.\n구워 먹으니 밤처럼 좀 딱딱 하네요.\n사진은 안그래 보이던데 ㅜㅜ\n그래도 맛은 있어요.']",8.3
14,[해뜨온] 거산 호박고구마(실속),"['호박고구마인줄 알고 샀는데,\n밤고구마가 더 많았어요\n그리고 단맛이 없네요 ㅠ', '달고 맛있서요. ㅎㅎ']",8.0
15,"[서영암농협] 황토 꿀고구마, 3kg(개당중량 70g~100g미만)","['왠만하면 사진은 안올리는데 배송온 고구마 상태 썩은거 없이 잘 오고\n오자마자 에어프라이에 돌렸는데 맛있어요', '다른 분들의 후기대로 정말 맛이 좋고 픔질도 좋아요. 배송 때도 상한 것 없이 깨끗한 상태로 왔는데 일주일 지났는데도 하나도 썩지 않아 맛있게 잘 먹고 있어요.', '달고 맛있어요 조금 작은게 아쉽지만~~', '상품명 그대로 꿀고구마네요^^', '고구마 상태 너무 좋구요 한입에 먹기에 딱 적당한 사이즈에요 ㅎㅎ 에프에 구워먹었는데 꿀이 흐르면서 아주 맛있습니다!!다먹으면 또 구매할거에용~', '보름전에 구매하여 먹었는데, 맛이 좋아 재구매하게 되었습니다. 지난번처럼 맛이 있어 만족합니다.^^', '맛도 좋고 크기도 적당하여 매우 만족한 상품이었습니다.^^ 그래서 또 주문하기로 했 습니다.', '고구마 깨끗하고 맛있음', '고구마 맛이 너무 좋아요. 사각거리고 단맛도 좋고 까서 씹어 먹어도 맛있고 쪄서 먹어도 맛있어요. 요즘 고구마 잘 썩던데 여기 고구마는 이주일이 지나도 상태 그대로 예요.', '황토고구마 맛있어요\n조금샀는데. 맛있어서 10키로 또삽니다\n쌩으로. 깎아먹어도 맛있어요']",10.0
16,태안 안면도 호박고구마(한입) 5kg/10kg,['고구마 맛있어요^^사이즈도 세입에 먹기좋구 고구마 상한거 없이 다 좋더라구요~너무 만족해요\n추운날 고구마를 아이스박스에 넣어서 보내주신센스^^\n잘 먹겠습니다.\n다먹고 또 주문하게 될것같아요^^'],10.0
17,생산자직배송/ 22년 무농약 해들녘 햇 고창황토고구마 5kg,"['세번째 주문이요.ㅎ\n고구마상태좋고 맛있어요 다이어트 도움되요\n먹음 든든해요', '크기도 적당히 크고, 쪄 먹어보니 맛도 좋았습니다.', '큼직막 하고 깔끔하고 맛은 있는편인데 심지가 있어 그게 아쉽네요', '반으로 잘라서 구워도 먹고 쪄도 먹고 진짜 달고 맛있네요', '크고 깨끗하며 맛이 좋아요', '왕고구마 꿀이 흘러요~\n맛있어서 계속 주문해 먹게 되네요^^', '상품좋고 가격도 저렴해서 재구매^^\n시원한곳에 신문지랑 넣어서 보관하면서 먹고 있어요.\n밥솥이 작아서 3개넣고 찜기능 15분이면 이른아침 식사대용이나 간식으로 맛나게 잘 먹고 있어요~', '여기 한입 고구마 아주 아주 맛있네요.', '왕사이즈..완전 대만족입니다.\n가성비 최고 상품 못지않은 맛과 질감이예요.\n싱싱한 고구마가 옵니다.\n반 나눠 찌니 왕크기여도 빨리 익더라구요.\n여러번 주문해 먹습니다.', '왕사이즈 이지만,,\n왕 사이즈여서 실하니 맛나게 쪄서 먹고 있답니다.\n크지만 심없이 아주 부드러워요.\n노오라니 맛있어서 여러번 주문해서 먹고 있습니다.\n울가족 최애 간식입니다.']",9.0
18,생산자직배송/ 22년 무농약 해들녘 햇 고창황토고구마 10kg,"['해들녘 고구마 좋아요', '해들녘 고구마 좋아요', '해들녘 고구마 지속적 구매합니다', '무농약 해들녘 고구마 지속적으로 구매합니다', '해들녘 고구마 좋아요', '박스를 열자마자 상한 고구마가 보이더니 안에도 썩은게 많네요. 저렴하게 샀다고 좋아했는데 손실이 많아서 아쉽네요. 상하지 않은 고구마는 맛이 좋았어요.', '해들녘 고구마 맛있어요', '해들녘 고구마가 좋아서 계속 구매합니다', '배송은 이틀걸렸구요 - 한입고구마고 저렴한 탓에 괜히 걱정했었는데 역시 괜한 걱정이었어요\n에어프라이어 돌려먹으니 딱 달달한 고구마맛 .! 밤고구마보다는 꿀고구마처럼 무른 느낌 .? 이었는데 전 좋았습니다 :)\n재구매할 것 같아용 ~', '해들녘 고구마 좋아서 계속 구매합니다']",9.0
19,최상급 해남 꿀고구마 3kg 5kg(특상) 세척/농산물 우수관리 GAP인증,"['역시 고구마는 해남!!!!', '사진이랑 너무 달라요..ㅋㅋ\n저런 노랑 아님..\n저런게 먹고 싶어서 시킨건데 넘하네요', '고구마 크기 일정하고 당도도 괜잖응', '포장도 잘되어 있고 상풍도 좋아보여요', '너무맛있고 모양도 너무예뻐요.', '정말 맛있는 고구마입니다.', '고구마는 맛은 있는데요. 양쪽끝에 심이 많아서 좀 제거하고 먹어야 하네여. 1주 후숙한다음에 군고구마로 먹는게 맛나네요.', '상태좋은걸로다시보내주셧는데 맛이좋앗어요', '맛도 좋고 상태도 좋았습니다', '고구마가 참으로 맛나고 좋습니다']",9.0
